"","word","freq","word","freq","word","freq"
"1","post malone",110,"",71,"post malone",70
"2","kendrick lamar",67,"kodak black",57,"lil uzi vert",60
"3","migos",63,"post malone",44,"taylor swift",51
"4","lil uzi vert",57,"youngboy never broke again",41,"xxxtentacion",43
"5","xxxtentacion",52,"ed sheeran",39,"kodak black",42
"6","kodak black",47,"imagine dragons",39,"imagine dragons",40
"7","ed sheeran",45,"taylor swift",38,"ed sheeran",37
"8","camila cabello",42,"lil uzi vert",37,"kendrick lamar",36
"9","taylor swift",41,"lil pump",34,"charlie puth",34
"10","imagine dragons",38,"chris brown",33,"21 savage",33
"11","khalid",38,"ozuna",33,"chris brown",32
"12","travis scott",38,"migos",32,"khalid",30
"13","21 savage",34,"sza",31,"sza",29
"14","maroon 5",31,"21 savage",29,"demi lovato",27
"15","g-eazy",30,"khalid",29,"luis fonsi",27
"16","charlie puth",29,"luis fonsi",29,"bruno mars",25
"17","demi lovato",26,"cardi b",28,"camila cabello",25
"18","cardi b",25,"g-eazy",27,"g-eazy",25
"19","gucci mane",25,"6ix9ine",25,"niall horan",25
"20","lil pump",25,"j balvin",25,"gucci mane",24
"21","playboi carti",25,"charlie puth",24,"macklemore",24
"22","sam smith",25,"yo gotti",24,"cardi b",23
"23","sza",25,"bts",23,"p!nk",22
"24","future",24,"dj khaled",23,"thomas rhett",22
"25","a boogie wit da hoodie",23,"dua lipa",23,"dua lipa",21
"26","dua lipa",23,"blackbear",22,"maroon 5",21
"27","a$ap ferg",22,"eminem",22,"french montana",20
"28","luis fonsi",21,"kendrick lamar",22,"j. balvin",20
"29","marshmello",21,"bruno mars",21,"logic",20
"30","bebe rexha",19,"bhad bhabie",20,"marshmello",20
"31","french montana",19,"gucci mane",20,"portugal. the man",20
"32","hailee steinfeld",19,"kane brown",20,"sam smith",20
"33","halsey",19,"sam smith",20,"halsey",19
"34","huncho jack",19,"tank",20,"lanco",19
"35","logic",19,"tay-k",20,"maren morris",19
"36","childish gambino",18,"xxxtentacion",20,"yo gotti",19
"37","eminem",18,"zayn malik",20,"blake shelton",18
"38","j balvin",18,"ayo & teo",19,"hailee steinfeld",18
"39","portugal. the man",18,"becky g",19,"lil pump",18
"40","dj khaled",17,"logic",19,"luke bryan",18
"41","macklemore",17,"marshmello",19,"kane brown",17
"42","yo gotti",17,"natti natasha",19,"selena gomez",17
"43","nf",16,"camila cabello",18,"6ix9ine",16
"44","6ix9ine",15,"demi lovato",18,"a$ap ferg",16
"45","rich the kid",14,"halsey",18,"brett young",16
"46","sam hunt",14,"lil xan",17,"chris young",16
"47","chris brown",13,"yung bleu",17,"dj khaled",16
"48","miguel",13,"maluma",16,"eric church",16
"49","niall horan",13,"a$ap ferg",15,"liam payne",16
"50","offset",13,"bebe rexha",15,"luke combs",16
"51","russ",13,"farruko",15,"miguel",16
"52","selena gomez",13,"future",15,"shawn mendes",16
"53","ybn nahmir",13,"trippie redd",15,"tay-k",16
"54","young thug",13,"ybn nahmir",15,"zayn",16
