"","artist","Spotify","YouTube","BillBoard"
"1","post malone",110,44,70
"2","kendrick lamar",67,22,36
"3","migos",63,32,15
"4","lil uzi vert",57,37,60
"5","xxxtentacion",52,20,43
"6","kodak black",47,57,42
"7","ed sheeran",45,39,37
"8","camila cabello",42,18,25
"9","taylor swift",41,38,51
"10","imagine dragons",38,39,40
"11","khalid",38,29,30
"12","travis scott",38,11,9
"13","21 savage",34,29,33
"14","maroon 5",31,14,21
"15","g-eazy",30,27,25
"16","charlie puth",29,24,34
"17","demi lovato",26,18,27
"18","cardi b",25,28,23
"19","gucci mane",25,20,24
"20","lil pump",25,34,18
"21","sam smith",25,20,20
"22","sza",25,31,29
"23","future",24,15,13
"24","a boogie wit da hoodie",23,9,6
"25","dua lipa",23,23,21
"26","a$ap ferg",22,15,16
"27","luis fonsi",21,29,27
"28","marshmello",21,19,20
"29","bebe rexha",19,15,12
"30","french montana",19,11,20
"31","hailee steinfeld",19,2,18
"32","halsey",19,18,19
"33","logic",19,19,20
"34","eminem",18,22,10
"35","portugal. the man",18,8,20
"36","dj khaled",17,23,16
"37","yo gotti",17,24,19
"38","nf",16,13,13
"39","6ix9ine",15,25,16
"40","sam hunt",14,3,11
"41","chris brown",13,33,32
"42","miguel",13,12,16
"43","offset",13,13,12
"44","selena gomez",13,14,17
"45","ybn nahmir",13,15,10
"46","young thug",13,8,12
"47","clean bandit",12,3,1
"48","liam payne",12,8,16
"49","lil xan",12,17,9
"50","nav",12,3,7
"51","bruno mars",11,21,25
"52","kane brown",11,20,17
"53","2 chainz",10,6,9
"54","bts",10,23,11
"55","james arthur",10,7,8
"56","tay-k",10,20,16
"57","blackbear",8,22,14
"58","p!nk",7,9,22
"59","thomas rhett",7,7,22
"60","burl ives",6,2,3
"61","mariah carey",6,10,4
"62","shawn mendes",6,9,16
"63","andy williams",5,3,3
"64","wham!",5,6,2
"65","zac efron",5,3,3
"66","justin timberlake",4,5,2
"67","quality control",4,6,4
"68","the chainsmokers",3,12,12
"69","lil peep",2,4,1
"70","metro boomin",2,1,2
"71","trippie redd",2,15,2
"72","dustin lynch",1,3,8
"73","zedd",1,1,5
