"","title","Spotify","YouTube","BillBoard","artist"
"1","unforgettable",24,11,36,"French Montana"
"2","unforgettable",24,11,36,"Thomas Rhett"
"3","1-800-273-8255",19,19,20,"Logic"
"4","bad at love",19,17,19,"Halsey"
"5","bank account",19,21,20,"21 Savage"
"6","believer",19,20,20,"Imagine Dragons"
"7","bodak yellow",19,20,20,"Cardi B"
"8","butterfly effect",19,8,9,"Travis Scott"
"9","candy paint",19,6,12,"Post Malone"
"10","congratulations",19,19,15,"Post Malone"
"11","go flex",19,1,10,"Post Malone"
"12","gucci gang",19,20,18,"Lil Pump"
"13","havana",19,18,20,"Camila Cabello"
"14","humble.",19,11,16,"Kendrick Lamar"
"15","i get the bag",19,20,20,"Gucci Mane"
"16","jocelyn flores",19,9,16,"XXXTENTACION"
"17","let me go",19,2,16,"Hailee Steinfeld"
"18","location",19,10,10,"Khalid"
"19","meant to be",19,15,12,"Bebe Rexha"
"20","new rules",19,20,20,"Dua Lipa"
"21","plain jane",19,15,16,"A$AP Ferg"
"22","rockstar",19,15,17,"Post Malone"
"23","roll in peace",19,24,20,"Kodak Black"
"24","shape of you",19,17,20,"Ed Sheeran"
"25","silence",19,11,20,"Marshmello"
"26","sorry not sorry",19,15,20,"Demi Lovato"
"27","the way life goes",19,13,20,"Lil Uzi Vert"
"28","thunder",19,19,20,"Imagine Dragons"
"29","what lovers do",19,14,20,"Maroon 5"
"30","xo tour llif3",19,15,12,"Lil Uzi Vert"
"31","young dumb & broke",19,19,20,"Khalid"
"32","feel it still",18,8,20,"Portugal. The Man"
"33","i fall apart",18,2,16,"Post Malone"
"34","love galore",18,11,9,"SZA"
"35","mi gente",18,20,20,"J Balvin"
"36","perfect",18,13,17,"Ed Sheeran"
"37","redbone",18,3,6,"Childish Gambino"
"38","magnolia",17,3,3,"Playboi Carti"
"39","mask off",17,10,4,"Future"
"40","no limit",17,15,18,"G-Eazy"
"41","rake it up",17,20,14,"Yo Gotti"
"42","let you down",16,12,13,"NF"
"43","how long",15,15,14,"Charlie Puth"
"44","attention",14,9,20,"Charlie Puth"
"45","body like a back road",14,3,11,"Sam Hunt"
"46","sauce it up",14,7,15,"Lil Uzi Vert"
"47","relationship",13,8,12,"Young Thug"
"48","ric flair drip",13,13,11,"Offset"
"49","rubbin off the paint",13,15,10,"YBN Nahmir"
"50","sky walker",13,12,16,"Miguel"
"51","wolves",13,14,12,"Selena Gomez"
"52","betrayed",12,17,9,"Lil Xan"
"53","ghostface killers",12,4,7,"21 Savage"
"54","gummo",12,15,9,"6ix9ine"
"55","look what you made me do",12,20,18,"Taylor Swift"
"56","pick it up",12,3,9,"Famous Dex"
"57","the race",12,20,16,"Tay-K"
"58","the race",12,20,16,"22 Savage"
"59","too good at goodbyes",12,20,18,"Sam Smith"
"60","wanted you",12,3,7,"NAV"
"61","...ready for it?",11,5,19,"Taylor Swift"
"62","transportin'",11,17,15,"Kodak Black"
"63","what ifs",11,16,12,"Kane Brown"
"64","codeine dreaming",10,9,7,"Kodak Black"
"65","i'm the one",10,14,5,"DJ Khaled"
"66","it's a vibe",10,6,9,"2 Chainz"
"67","say you won't let go",10,7,8,"James Arthur"
"68","„âchame la culpa",9,11,8,"Luis Fonsi"
"69","end game",9,3,8,"Taylor Swift"
"70","him & i",9,9,6,"G-Eazy"
"71","praying",9,13,14,"Kesha"
"72","strip that down",9,8,14,"Liam Payne"
"73","do re mi",8,16,14,"blackbear"
"74","river",7,4,4,"Eminem"
"75","tell me you love me",7,3,7,"Demi Lovato"
"76","that's what i like",7,15,19,"Bruno Mars"
"77","the weekend",7,20,20,"SZA"
"78","what about us",7,7,18,"P!nk"
"79","wild thoughts",7,9,11,"DJ Khaled"
"80","all i want for christmas is you",6,8,4,"Mariah Carey"
"81","bartier cardi",6,6,3,"Cardi B"
"82","stir fry",6,1,3,"Migos"
"83","there's nothing holdin' me back",6,9,16,"Shawn Mendes"
"84","it's the most wonderful time of the year",5,3,3,"Andy Williams"
"85","last christmas",5,6,2,"Wham!"
"86","rewrite the stars",5,4,3,"Zac Efron"
"87","the christmas song",5,2,3,"Nat King Cole"
"88","the greatest show",5,2,3,"Hugh Jackman"
"89","dna",4,13,4,"BTS"
"90","gorgeous",4,3,4,"Taylor Swift"
"91","ice tray",4,5,4,"Quality Control"
"92","idgaf",4,3,1,"Dua Lipa"
"93","nowadays",4,5,2,"Lil Skies"
"94","this is me",4,2,3,"Keala Settle"
"95","walk on water",4,4,4,"Eminem"
"96","feliz navidad",3,4,1,"Jos√© Feliciano"
"97","filthy",3,1,2,"Justin Timberlake"
"98","never enough",3,4,3,"Loren Allred"
"99","patek water",3,2,4,"Future"
"100","red roses",3,4,2,"Lil Skies"
"101","dark knight dummo",2,1,2,"Trippie Redd"
"102","keke",2,3,1,"6ix9ine"
"103","call it what you want",1,2,2,"Taylor Swift"
"104","kooda",1,9,6,"6ix9ine"
"105","marry me",1,7,6,"Thomas Rhett"
"106","small town boy",1,3,8,"Dustin Lynch"
"107","untouchable",1,7,1,"Eminem"
"108","x",1,2,2,"Lil Uzi Vert"
