word,freq,source
Post Malone,110,spotify
lil (xxx) ,103,spotify
Kendrick lamar,67,spotify
Migos,63,spotify
Uzi Vert,57,spotify
Kodak Black,47,spotify
Ed Sheeran,45,spotify
Cabello Camila,42,spotify
Taylor Swift,41,spotify
Sam,39,spotify
Imagine Dragon,38,spotify
lil(yyy),111,youtube
Kodak Black,57,youtube
Brown,53,youtube
Chris,46,youtube
Post Malone,44,youtube
Broke again,41,youtube
Never youngboy,41,youtube
Imagine Dragon,39,youtube
Ed Sheeran,39,youtube
Taylor Swift,38,youtube
Uzi Vert,37,youtube
lil(zzz),97,billboard
Post Malone,70,billboard
Chris,68,billboard
Uzi Vert,60,billboard
Taylor Swift,51,billboard
Brown,49,billboard
Young,44,billboard
Kodak Black,42,billboard
Imagine Dragons,40,billboard
Ed Sheeran,37,billboard
